coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
221215,unknown,s.d.,,"Eriogonum saurinum",1,Reveal,Eriogonum,saurinum,,,,,urn:uuid:047b8d6e-7a69-4a41-bb25-a3fe88830866,"2023-07-16 05:07:11"
225239,unknown,s.d.,,"Eriogonum saurinum",1,Reveal,Eriogonum,saurinum,,,,,urn:uuid:cae5f0ab-cadb-463f-a68d-6d42137be469,"2023-07-16 05:07:11"
240129,"UTC synonomy","20 February 2015",,"Eriogonum lonchophyllum",1,"Torr. & Gray",,,,,"FNA 5",,urn:uuid:e0131c2a-6cde-49eb-a5f2-34721bd2cc68,"2015-02-20 08:37:05"
240129,unknown,"assumed to be year collected",,"Eriogonum saurinum",0,Reveal,,,,,,,urn:uuid:d6a11878-e04f-4b5e-80d1-d7b3e5cdc929,"2015-02-20 08:37:05"
245084,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:ae59e192-e9fc-47ff-8efa-82fdbb8511a3,"2023-07-16 05:07:11"
245108,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:f515de06-9371-416a-b739-75ef921bcc47,"2023-07-16 05:07:11"
245549,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:8e145a9d-5999-4507-9d0e-14c55e7546f5,"2023-07-16 05:07:11"
245566,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:a65109b7-8e04-4fcd-bfd0-1a1ec57486d6,"2023-07-16 05:07:11"
245791,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:3ce6ed5a-f86f-4d11-a26a-f0bef3d73303,"2023-07-16 05:07:11"
246066,unknown,s.d.,,"Eriogonum lonchophyllum",1,"Torr. & Gray",Eriogonum,lonchophyllum,,,,,urn:uuid:ec6e3bb5-6bf2-4d01-b01c-f182702cdcbb,"2023-07-16 05:07:11"
