"resolution","cv_structure","iteration","pa_ratio","dist_order","n_seeds","n_pts","mean_pr_auc","sd_pr_auc","min_pr_auc","max_pr_auc","mean_orig_pr_auc","sd_orig_pr_auc"
"1 arc-second","classic",0,"1:1.25","0",5,58,0.579173770002595,0.0388235016150901,0.551091923995368,0.647315463013721,0.98029176011474,0.0170230772323021
"1 arc-second","spatial knndm",1,"1:1.5","0",3,58,0.577888986443596,0.0865228080992662,0.485869199943883,0.657595548531676,0.962722805226712,0.0145734451600227
"1 arc-second","classic",0,"1:2.75","0",5,58,0.569411259423347,0.0445070166768138,0.533517328621919,0.645497138928351,0.925494527398688,0.0374954845775265
"1/3 arc-second","classic",0,"1:1","0",3,58,0.566926390559457,0.0299665534714088,0.547058948668271,0.60139494167524,0.977379749777896,0.0134307332027639
"1 arc-second","spatial knndm",0,"1:1.25","0",5,58,0.566145803329898,0.0861819334752671,0.495634678620612,0.679880749740641,0.872139638919922,0.0472075875434492
"1 arc-second","spatial knndm",0,"1:1","0",13,58,0.565043660709375,0.0517590902539139,0.494441237089847,0.665343090717588,0.905368836999622,0.0391521906896678
"3 arc-second","spatial knndm",1,"1:1","0",23,58,0.563903326141809,0.0778025127356199,0.393720370611905,0.677926260033014,0.851462308839433,0.0835571494124677
"1/3 arc-second","spatial knndm",0,"1:3","0",3,58,0.563797647480192,0.00248474422903926,0.56160822612861,0.566498216024125,0.669021406479202,0.0589415921249503
"3 arc-second","spatial knndm",0,"1:2","0",3,58,0.557505873870722,0.0147952787688217,0.548344346153204,0.574574635217389,0.956046109376062,0.00999930990140256
"3 arc-second","classic",1,"1:1","0",13,58,0.554612951951998,0.0647332261216762,0.450954759417922,0.627366236950795,0.906590406148587,0.0536715919020485
"3 arc-second","classic",0,"1:3.5","0",3,58,0.554094556261109,0.053697889607315,0.506399031518764,0.612254357888841,0.928065523720552,0.0258694597396802
"1/3 arc-second","classic",0,"1:1.25","0",5,58,0.553806029214141,0.108263739950706,0.429701857772033,0.716981132075472,0.970228388084529,0.0204697235497416
"3 arc-second","classic",0,"1:3.75","0",5,58,0.551137482422076,0.0633804848967075,0.49517009909397,0.637884850412684,0.932510007870247,0.0391481473950762
"3 arc-second","classic",0,"1:3","0",3,58,0.549438765889418,0.0631315773229965,0.50047790881887,0.620692284032687,0.958410425224884,0.0342651021073839
"3 arc-second","spatial knndm",0,"1:3.25","0",5,58,0.548635751590391,0.0400575452165914,0.517016801605024,0.617604778100407,0.933284538550049,0.0264908245934973
"1/3 arc-second","classic",0,"1:1.5","0",3,58,0.548629724677172,0.0540658889060748,0.499938403824962,0.606813038663393,0.991178964278833,0.0135657667531517
"1 arc-second","classic",0,"1:4","0",3,58,0.548415933279762,0.10617500907208,0.448690720154957,0.660038510307389,0.938691986808331,0.0309420253747732
"3 arc-second","classic",0,"1:2.75","0",5,58,0.545843863185535,0.0663851595749785,0.48501288053442,0.642007001163579,0.939766399730612,0.0136362239837739
"3 arc-second","classic",0,"1:2.5","0",3,58,0.543878707881789,0.0566994391362703,0.509433358088877,0.609319271643277,0.952831971104715,0.0599853944016789
"3 arc-second","spatial knndm",0,"1:2.25","0",5,58,0.542584463473144,0.0608936948103906,0.477489284399331,0.638075085653621,0.961712604724302,0.0235294282969075
"3 arc-second","classic",0,"1:3.25","0",5,58,0.542441199596595,0.0836110584806353,0.41599700261273,0.642904593641697,0.916579888482434,0.0397972206920615
"3 arc-second","spatial knndm",0,"1:4","0",3,58,0.542321846635706,0.122620295011136,0.408123960873706,0.64852235395312,0.94295484148011,0.0389946967687327
"1 arc-second","classic",0,"1:1","0",13,58,0.540324895402797,0.0546739542803474,0.456932883980441,0.619938241254381,0.976518884642963,0.0201085752877442
"3 arc-second","classic",0,"1:1.5","0",3,58,0.536168740527082,0.0201521004517432,0.518265854164831,0.557993495152524,0.971039927885166,0.0141774410958576
"1 arc-second","classic",0,"1:2.25","0",5,58,0.535537047473462,0.0397088242474748,0.485979297433653,0.588096841639539,0.977815561565653,0.0234447715596516
"3 arc-second","spatial knndm",0,"1:2.5","0",3,58,0.533583185022275,0.0854624129171407,0.46309953818316,0.62864027127511,0.950784460965416,0.00670566357836768
"3 arc-second","classic",0,"1:1.75","0",5,58,0.531543366066743,0.0648829879116265,0.433675106032072,0.597725752508361,0.955311053354397,0.0423767495926557
"1/3 arc-second","spatial knndm",0,"1:2","0",3,58,0.529531159105711,0.0257806896348238,0.501549417501209,0.552320357057556,0.75889045908937,0.0713325307967173
"3 arc-second","spatial knndm",0,"1:2.75","0",5,58,0.528412019322381,0.0982104866255854,0.385548825915606,0.660816542948038,0.95406734036856,0.00760536893638832
"1/3 arc-second","spatial knndm",0,"1:1.75","0",5,58,0.527711216062712,0.068377419761082,0.473490502423749,0.639949458044087,0.721188959037509,0.058371277341018
"3 arc-second","classic",0,"1:2","0",3,58,0.524505217857555,0.0419533179953034,0.484110206345644,0.567860080425753,0.974497867473937,0.0292402470219671
"3 arc-second","spatial knndm",0,"1:1.75","0",5,58,0.523461535333704,0.0804958317203089,0.428997940341022,0.6452272491019,0.96367036247303,0.00468963703893977
"3 arc-second","spatial knndm",0,"1:3.5","0",3,58,0.518869766048347,0.0274144124778878,0.499044746934414,0.550154605248029,0.939608679723027,0.0121387782450091
