"model","resolution","iteration","pa_ratio","dist_order","seed","cv_structure","orig_pr_auc","orig_roc_auc","n","pr_auc"
"1arc-Iteration0-PA1:1.75DO:0-Seed1030","1 arc-second",0,"1:1.75","0",1030,"spatial knndm",0.844617945568669,0.862847222222222,58,0.676960330848343
"1arc-Iteration0-PA1:1.75DO:0-Seed1031","1 arc-second",0,"1:1.75","0",1031,"spatial knndm",0.902429328215212,0.930555555555556,58,0.694152582153578
"1arc-Iteration0-PA1:1DO:0-Seed1001","1 arc-second",0,"1:1","0",1001,"spatial knndm",0.82983045269215,0.81280193236715,58,0.52920061000989
"1arc-Iteration0-PA1:1DO:0-Seed1002","1 arc-second",0,"1:1","0",1002,"spatial knndm",0.969465152829502,0.960069444444444,58,0.604356080557783
"1arc-Iteration0-PA1:1DO:0-Seed1003","1 arc-second",0,"1:1","0",1003,"spatial knndm",0.871986303075054,0.861111111111111,58,0.555265392304546
"1arc-Iteration0-PA1:1DO:0-Seed1052","1 arc-second",0,"1:1","0",1052,"spatial knndm",0.899405377585632,0.896825396825397,58,0.539417104634496
"1arc-Iteration0-PA1:1DO:0-Seed1053","1 arc-second",0,"1:1","0",1053,"spatial knndm",0.927686962303835,0.901709401709402,58,0.605712736147519
"1arc-Iteration0-PA1:1DO:0-Seed1054","1 arc-second",0,"1:1","0",1054,"spatial knndm",0.913471505346505,0.873263888888889,58,0.494441237089847
"1arc-Iteration0-PA1:1DO:0-Seed1055","1 arc-second",0,"1:1","0",1055,"spatial knndm",0.954728296548528,0.94047619047619,58,0.501017701833028
"1arc-Iteration0-PA1:1DO:0-Seed1056","1 arc-second",0,"1:1","0",1056,"spatial knndm",0.928160936640796,0.915032679738562,58,0.563119144192225
"1arc-Iteration0-PA1:1DO:0-Seed1057","1 arc-second",0,"1:1","0",1057,"spatial knndm",0.88764619814248,0.838541666666667,58,0.631608466673134
"1arc-Iteration0-PA1:1DO:0-Seed1058","1 arc-second",0,"1:1","0",1058,"spatial knndm",0.915101140021161,0.927083333333333,58,0.508984520969788
"1arc-Iteration0-PA1:1DO:0-Seed1059","1 arc-second",0,"1:1","0",1059,"spatial knndm",0.925151422082884,0.876984126984127,58,0.568776077147066
"1arc-Iteration0-PA1:1DO:0-Seed1060","1 arc-second",0,"1:1","0",1060,"spatial knndm",0.896922056101735,0.906565656565657,58,0.578325426944972
