"resolution","cv_structure","iteration","pa_ratio","dist_order","n_seeds","n_pts","mean_pr_auc","sd_pr_auc","min_pr_auc","max_pr_auc","mean_orig_pr_auc","sd_orig_pr_auc"
"1/3 arc-second","classic",0,"1:3.5","0",3,305,0.43122114229837,0.00680610801708308,0.426235083225967,0.438975114481577,0.97186692381772,0.0165607576777394
"1 arc-second","classic",0,"1:1","0",13,305,0.429537228134258,0.0334474340747378,0.383097271693629,0.483356012516405,0.976518884642963,0.0201085752877442
"1 arc-second","spatial knndm",0,"1:4","0",3,305,0.428780644535831,0.00737716294260626,0.42299691934769,0.437088587381598,0.85226962466349,0.0388616618225482
"1/3 arc-second","classic",0,"1:1.25","0",5,305,0.426910668343875,0.0419406665762862,0.378972142030903,0.490195119266796,0.970228388084529,0.0204697235497416
"1 arc-second","classic",0,"1:1.75","0",5,305,0.426668688490413,0.0381173323266802,0.381227561111114,0.482810016975011,0.94654953768681,0.0371640274193733
"1 arc-second","classic",0,"1:1.25","0",5,305,0.4266618019045,0.0207010560668197,0.396696247275616,0.452610037779998,0.98029176011474,0.0170230772323021
"1/3 arc-second","spatial knndm",0,"1:3","0",3,305,0.424638018868558,0.0181382920959396,0.408170888326719,0.444079744066341,0.669021406479202,0.0589415921249503
"3 arc-second","classic",0,"1:3","0",3,305,0.420491584351718,0.0519091280921198,0.386174009297245,0.480209573129325,0.958410425224884,0.0342651021073839
"1 arc-second","classic",0,"1:3","0",3,305,0.420046445684028,0.0220120005481897,0.394690859991096,0.434256842119102,0.941099430294553,0.0141637485031608
"3 arc-second","classic",0,"1:3.5","0",3,305,0.419960211635855,0.0177289325369591,0.399517003808908,0.431115351412716,0.928065523720552,0.0258694597396802
"1/3 arc-second","spatial knndm",0,"1:2","0",3,305,0.419469237795441,0.0259893315078302,0.390228972222588,0.439937490292141,0.75889045908937,0.0713325307967173
"1 arc-second","classic",0,"1:4","0",3,305,0.418035786865474,0.0353854456172854,0.380648383318382,0.451004162139281,0.938691986808331,0.0309420253747732
"3 arc-second","classic",0,"1:1.75","0",5,305,0.414915901162289,0.0234821131092319,0.38021820260248,0.44436832745856,0.955311053354397,0.0423767495926557
"1/3 arc-second","spatial knndm",0,"1:1.75","0",5,305,0.412793129383969,0.0363874694549748,0.383824803385952,0.476058491310708,0.721188959037509,0.058371277341018
"3 arc-second","classic",0,"1:3.25","0",5,305,0.410478775191539,0.0422774951475641,0.349500246789332,0.46343708613564,0.916579888482434,0.0397972206920615
"3 arc-second","spatial knndm",0,"1:3","0",3,305,0.408186763897935,0.0245826981418938,0.387715636532507,0.435451971036305,0.950370168607527,0.00870042287585622
"3 arc-second","spatial knndm",0,"1:4","0",3,305,0.408014718458357,0.0355290456207786,0.367660152541267,0.434590816928838,0.94295484148011,0.0389946967687327
"3 arc-second","classic",0,"1:1","0",3,305,0.406917715158396,0.0245008908994898,0.385017629209931,0.433378507033184,0.955398407222581,0.0142861397224365
"1/3 arc-second","classic",0,"1:1.5","0",3,305,0.40512633268155,0.00739405925970511,0.397760118314751,0.412547925756698,0.991178964278833,0.0135657667531517
"3 arc-second","classic",0,"1:1.5","0",3,305,0.40479519691611,0.034958775680972,0.364552057249329,0.427652325089678,0.971039927885166,0.0141774410958576
"1 arc-second","classic",0,"1:2.25","0",5,305,0.404562664383037,0.0156880713884848,0.382208676427002,0.420016577916686,0.977815561565653,0.0234447715596516
"3 arc-second","spatial knndm",0,"1:2.5","0",3,305,0.404391630054419,0.0266576611743948,0.376719764949976,0.42990368398833,0.950784460965416,0.00670566357836768
"3 arc-second","classic",0,"1:3.75","0",5,305,0.403837976288658,0.0331385889994801,0.355516025335948,0.435888224952975,0.932510007870247,0.0391481473950762
"3 arc-second","classic",0,"1:2.75","0",5,305,0.401775131045707,0.0237525633227146,0.364303156730733,0.426937422945134,0.939766399730612,0.0136362239837739
"3 arc-second","spatial knndm",0,"1:2.25","0",5,305,0.400684072868133,0.0285619208908313,0.372416252125825,0.434756753569167,0.961712604724302,0.0235294282969075
"3 arc-second","classic",0,"1:1.25","0",15,305,0.400143584677728,0.0226920749640938,0.356338438090987,0.436505224757521,0.95467803083194,0.0327791952645488
"3 arc-second","classic",0,"1:2.5","0",3,305,0.397660830564685,0.0338371603904825,0.365139976010167,0.432676228851629,0.952831971104715,0.0599853944016789
"3 arc-second","spatial knndm",0,"1:2.75","0",5,305,0.396343292707017,0.0299403130837526,0.361087610469149,0.436959351141174,0.95406734036856,0.00760536893638832
"3 arc-second","classic",0,"1:2","0",3,305,0.39502173417539,0.00530787751761439,0.389541972048534,0.400139159984307,0.974497867473937,0.0292402470219671
"3 arc-second","spatial knndm",0,"1:3.5","0",3,305,0.391785582524631,0.0231217689694972,0.377746528709068,0.418472212072395,0.939608679723027,0.0121387782450091
"3 arc-second","spatial knndm",0,"1:1","0",13,305,0.391730079991155,0.0177666787538442,0.363205733501622,0.417024670320241,0.976462674454022,0.0136533609302626
"3 arc-second","spatial knndm",0,"1:3.25","0",5,305,0.391086482936567,0.0393746470762282,0.348964721393552,0.43634816232001,0.933284538550049,0.0264908245934973
"3 arc-second","spatial knndm",0,"1:2","0",3,305,0.390610735932504,0.0108644784335604,0.37961518935081,0.401339222192025,0.956046109376062,0.00999930990140256
"3 arc-second","spatial knndm",0,"1:1.75","0",5,305,0.389112194461734,0.0253242365506469,0.368850878466959,0.430610272583495,0.96367036247303,0.00468963703893977
"3 arc-second","classic",0,"1:4","0",3,305,0.387521607408927,0.0157275425258453,0.377710340079945,0.405662038727772,0.923052183399964,0.050686512040007
"3 arc-second","classic",0,"1:2.25","0",5,305,0.384874676332477,0.018381334640957,0.36630791183907,0.406624552364204,0.968028709216871,0.0390403141318358
"3 arc-second","spatial knndm",0,"1:3.75","0",5,305,0.378286781979782,0.0193986342242656,0.353803245676258,0.407668547423544,0.946594560291329,0.0173195424788088
"3 arc-second","spatial knndm",0,"1:1.5","0",3,305,0.375978696715532,0.0272723837720604,0.344521072225213,0.392970961642867,0.966383554096402,0.014503708963727
"3 arc-second","spatial knndm",0,"1:1.25","0",5,305,0.369949226983853,0.02001975378354,0.35082800930345,0.402533565117295,0.961943063277834,0.0134904909961518
